example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall,cumulative_tokens
552__wikitables_simple__dev,0.6,True,608,"[0, 1, 0, 1, 1, 2]",0.6666666666666666,0.6666666666666666,0.5,608.0
552__wikitables_simple__dev,0.7,True,764,"[1, 1, 0, 1, 1, 2]",0.7499999999999999,0.7499999999999999,0.6,1372.0
552__wikitables_simple__dev,0.8,True,921,"[2, 1, 0, 1, 1, 2]",0.8235294117647058,0.8235294117647058,0.7,2293.0
552__wikitables_simple__dev,0.9,True,1253,"[2, 2, 0, 2, 1, 2]",0.9473684210526316,0.9473684210526316,0.9,3546.0
552__wikitables_simple__dev,0.95,False,,,,,,
299__wikidata_intersection__dev,0.6,True,360,"[1, 1, 0, 1, 2, 0]",0.6666666666666666,0.6666666666666666,0.5,360.0
299__wikidata_intersection__dev,0.7,True,427,"[1, 1, 0, 1, 2, 1]",0.7499999999999999,0.7499999999999999,0.6,787.0
299__wikidata_intersection__dev,0.8,True,642,"[1, 1, 1, 2, 2, 1]",0.8235294117647058,0.8235294117647058,0.7,1429.0
299__wikidata_intersection__dev,0.9,True,1073,"[2, 2, 1, 2, 2, 2]",0.9473684210526316,0.9473684210526316,0.9,2502.0
299__wikidata_intersection__dev,0.95,False,,,,,,
213__wikidata_intersection__dev,0.6,True,267,"[1, 1, 0, 1, 1, 1]",0.625,0.625,0.5,267.0
213__wikidata_intersection__dev,0.7,True,343,"[2, 1, 0, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,610.0
213__wikidata_intersection__dev,0.8,True,423,"[2, 2, 0, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,1033.0
213__wikidata_intersection__dev,0.9,True,608,"[2, 2, 0, 2, 1, 2]",0.9473684210526316,0.9473684210526316,0.9,1641.0
213__wikidata_intersection__dev,0.95,True,725,"[2, 2, 0, 2, 2, 2]",1.0,1.0,1.0,2366.0
826__wikidata_simple__dev,0.6,True,308,"[2, 0, 1, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,308.0
826__wikidata_simple__dev,0.7,True,399,"[2, 0, 1, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,707.0
826__wikidata_simple__dev,0.8,True,489,"[2, 0, 2, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,1196.0
826__wikidata_simple__dev,0.9,True,686,"[2, 0, 2, 2, 2, 1]",0.9473684210526316,0.9473684210526316,0.9,1882.0
826__wikidata_simple__dev,0.95,True,801,"[2, 0, 2, 2, 2, 2]",1.0,1.0,1.0,2683.0
31__wikitables_composition__dev,0.6,True,164,"[0, 2, 1, 1, 0, 1]",0.6666666666666666,0.6666666666666666,0.5,164.0
31__wikitables_composition__dev,0.7,True,197,"[1, 2, 1, 1, 0, 1]",0.7499999999999999,0.7499999999999999,0.6,361.0
31__wikitables_composition__dev,0.8,True,230,"[2, 2, 1, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7,591.0
31__wikitables_composition__dev,0.9,True,299,"[2, 2, 1, 2, 0, 2]",0.9473684210526316,0.9473684210526316,0.9,890.0
31__wikitables_composition__dev,0.95,True,425,"[2, 2, 2, 2, 1, 2]",0.9523809523809523,0.9523809523809523,1.0,1315.0
