example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall
668__wikidata_simple__test,0.6,True,271,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
668__wikidata_simple__test,0.7,True,331,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
668__wikidata_simple__test,0.8,True,392,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
668__wikidata_simple__test,0.9,True,558,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]",0.9473684210526316,0.9473684210526316,0.9
668__wikidata_simple__test,0.95,True,759,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1.0,1.0,1.0
629__wikidata_simple__test,0.6,True,399,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
629__wikidata_simple__test,0.7,True,497,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
629__wikidata_simple__test,0.8,True,606,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
629__wikidata_simple__test,0.9,True,890,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
629__wikidata_simple__test,0.95,True,1068,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
81__wikitables_composition__test,0.6,True,141,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5
81__wikitables_composition__test,0.7,True,172,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6
81__wikitables_composition__test,0.8,True,204,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
81__wikitables_composition__test,0.9,True,268,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
81__wikitables_composition__test,0.95,True,300,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",1.0,1.0,1.0
624__wikidata_simple__test,0.6,True,191,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
624__wikidata_simple__test,0.7,True,239,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
624__wikidata_simple__test,0.8,True,291,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
