example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall,cumulative_tokens
693__wikidata_simple__test,0.6,True,313,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,313
693__wikidata_simple__test,0.7,True,399,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,712
693__wikidata_simple__test,0.8,True,490,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,1202
693__wikidata_simple__test,0.9,True,668,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1870
693__wikidata_simple__test,0.95,True,785,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1.0,1.0,1.0,2655
392__wikidata_intersection__test,0.6,True,221,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,221
392__wikidata_intersection__test,0.7,True,272,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6,493
392__wikidata_intersection__test,0.8,True,323,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]",0.8235294117647058,0.8235294117647058,0.7,816
392__wikidata_intersection__test,0.9,True,440,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1256
392__wikidata_intersection__test,0.95,True,512,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1.0,1.0,1.0,1768
677__wikidata_simple__test,0.6,True,470,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",0.6666666666666666,0.6666666666666666,0.5,470
677__wikidata_simple__test,0.7,True,593,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",0.7499999999999999,0.7499999999999999,0.6,1063
677__wikidata_simple__test,0.8,True,713,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7,1776
677__wikidata_simple__test,0.9,True,1000,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,2776
677__wikidata_simple__test,0.95,True,1138,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,3914
1263__wikitables_composition__test,0.6,True,123,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",0.6666666666666666,0.6666666666666666,0.5,123
1263__wikitables_composition__test,0.7,True,149,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]",0.7499999999999999,0.7499999999999999,0.6,272
1263__wikitables_composition__test,0.8,True,175,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",0.8235294117647058,0.8235294117647058,0.7,447
1263__wikitables_composition__test,0.9,True,227,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,674
1263__wikitables_composition__test,0.95,True,255,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,929
702__wikidata_simple__test,0.6,True,219,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,219
702__wikidata_simple__test,0.7,True,283,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,502
702__wikidata_simple__test,0.8,True,357,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,859
702__wikidata_simple__test,0.9,True,513,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1372
702__wikidata_simple__test,0.95,True,618,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",1.0,1.0,1.0,1990
18__wikitables_composition__test,0.6,True,213,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0.6666666666666666,0.6666666666666666,0.5,213
18__wikitables_composition__test,0.7,True,259,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0.7499999999999999,0.7499999999999999,0.6,472
18__wikitables_composition__test,0.8,True,311,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0.8235294117647058,0.8235294117647058,0.7,783
18__wikitables_composition__test,0.9,True,409,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1192
18__wikitables_composition__test,0.95,True,473,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1665
79__wikitables_composition__test,0.6,True,147,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,147
79__wikitables_composition__test,0.7,True,178,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6,325
79__wikitables_composition__test,0.8,True,209,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.8235294117647058,0.8235294117647058,0.7,534
79__wikitables_composition__test,0.9,True,296,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9,830
79__wikitables_composition__test,0.95,False,,,,,,
633__wikidata_simple__test,0.6,True,155,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,155
633__wikidata_simple__test,0.7,True,197,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,352
