example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall,cumulative_tokens
668__wikidata_simple__test,0.6,True,272,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,272
668__wikidata_simple__test,0.7,True,333,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0.7499999999999999,0.7499999999999999,0.6,605
668__wikidata_simple__test,0.8,True,401,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",0.8235294117647058,0.8235294117647058,0.7,1006
668__wikidata_simple__test,0.9,True,558,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]",0.9473684210526316,0.9473684210526316,0.9,1564
668__wikidata_simple__test,0.95,True,759,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1.0,1.0,1.0,2323
629__wikidata_simple__test,0.6,True,399,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,399
629__wikidata_simple__test,0.7,True,497,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,896
629__wikidata_simple__test,0.8,True,606,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,1502
629__wikidata_simple__test,0.9,True,890,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,2392
629__wikidata_simple__test,0.95,True,1068,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,3460
81__wikitables_composition__test,0.6,True,141,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,141
81__wikitables_composition__test,0.7,True,172,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6,313
81__wikitables_composition__test,0.8,True,204,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.8235294117647058,0.8235294117647058,0.7,517
81__wikitables_composition__test,0.9,True,268,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",0.9473684210526316,0.9473684210526316,0.9,785
81__wikitables_composition__test,0.95,True,300,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",1.0,1.0,1.0,1085
624__wikidata_simple__test,0.6,True,191,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,191
624__wikidata_simple__test,0.7,True,239,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,430
624__wikidata_simple__test,0.8,True,291,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,721
624__wikidata_simple__test,0.9,True,397,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1118
624__wikidata_simple__test,0.95,True,453,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1.0,1.0,1.0,1571
912__wikidata_simple__test,0.6,True,226,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",0.6666666666666666,0.6666666666666666,0.5,226
912__wikidata_simple__test,0.7,True,274,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",0.7499999999999999,0.7499999999999999,0.6,500
912__wikidata_simple__test,0.8,True,324,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7,824
912__wikidata_simple__test,0.9,True,456,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9,1280
912__wikidata_simple__test,0.95,False,,,,,,
474__wikitables_simple__test,0.6,True,698,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,698
474__wikitables_simple__test,0.7,True,857,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,1555
474__wikitables_simple__test,0.8,True,1019,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,2574
474__wikitables_simple__test,0.9,True,1487,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,4061
474__wikitables_simple__test,0.95,False,,,,,,
600__wikidata_simple__test,0.6,True,226,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5,226
600__wikidata_simple__test,0.7,True,275,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6,501
600__wikidata_simple__test,0.8,True,324,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,825
600__wikidata_simple__test,0.9,True,422,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1247
600__wikidata_simple__test,0.95,True,473,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1720
481__wikitables_simple__test,0.6,True,657,"[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,657
481__wikitables_simple__test,0.7,True,822,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6,1479
481__wikitables_simple__test,0.8,True,991,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",0.8235294117647058,0.8235294117647058,0.7,2470
481__wikitables_simple__test,0.9,True,1388,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",0.9473684210526316,0.9473684210526316,0.9,3858
481__wikitables_simple__test,0.95,True,1601,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1.0,1.0,1.0,5459
584__wikidata_simple__test,0.6,True,151,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,151
584__wikidata_simple__test,0.7,True,190,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1]",0.7499999999999999,0.7499999999999999,0.6,341
584__wikidata_simple__test,0.8,True,245,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7,586
584__wikidata_simple__test,0.9,True,362,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9,948
584__wikidata_simple__test,0.95,True,494,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",0.9523809523809523,0.9523809523809523,1.0,1442
37__wikitables_composition__test,0.6,True,276,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5,276
37__wikitables_composition__test,0.7,True,361,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0]",0.7499999999999999,0.7499999999999999,0.6,637
37__wikitables_composition__test,0.8,True,453,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7,1090
37__wikitables_composition__test,0.9,True,647,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9,1737
37__wikitables_composition__test,0.95,True,803,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",1.0,1.0,1.0,2540
