example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall
693__wikidata_simple__test,0.6,True,313,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
693__wikidata_simple__test,0.7,True,399,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
693__wikidata_simple__test,0.8,True,488,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
693__wikidata_simple__test,0.9,True,668,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
693__wikidata_simple__test,0.95,True,785,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1.0,1.0,1.0
392__wikidata_intersection__test,0.6,True,221,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5
392__wikidata_intersection__test,0.7,True,272,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
392__wikidata_intersection__test,0.8,True,323,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
392__wikidata_intersection__test,0.9,True,440,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
392__wikidata_intersection__test,0.95,True,512,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1.0,1.0,1.0
677__wikidata_simple__test,0.6,True,456,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
677__wikidata_simple__test,0.7,True,574,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
677__wikidata_simple__test,0.8,True,712,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
677__wikidata_simple__test,0.9,True,959,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
677__wikidata_simple__test,0.95,True,1138,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
1263__wikitables_composition__test,0.6,True,123,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
1263__wikitables_composition__test,0.7,True,149,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
1263__wikitables_composition__test,0.8,True,175,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
1263__wikitables_composition__test,0.9,True,227,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
1263__wikitables_composition__test,0.95,True,255,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
702__wikidata_simple__test,0.6,True,219,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
702__wikidata_simple__test,0.7,True,283,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
702__wikidata_simple__test,0.8,True,357,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
702__wikidata_simple__test,0.9,True,513,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
702__wikidata_simple__test,0.95,True,618,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",1.0,1.0,1.0
18__wikitables_composition__test,0.6,True,213,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
18__wikitables_composition__test,0.7,True,259,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
18__wikitables_composition__test,0.8,True,311,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
18__wikitables_composition__test,0.9,True,409,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
18__wikitables_composition__test,0.95,True,473,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
79__wikitables_composition__test,0.6,True,147,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5
79__wikitables_composition__test,0.7,True,178,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6
79__wikitables_composition__test,0.8,True,209,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.8235294117647058,0.8235294117647058,0.7
79__wikitables_composition__test,0.9,True,296,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9
79__wikitables_composition__test,0.95,False,,,,,
633__wikidata_simple__test,0.6,True,155,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
633__wikidata_simple__test,0.7,True,197,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
633__wikidata_simple__test,0.8,True,239,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
633__wikidata_simple__test,0.9,True,330,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
633__wikidata_simple__test,0.95,True,418,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",0.9523809523809523,0.9523809523809523,1.0
533__wikitables_simple__test,0.6,True,675,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5
533__wikitables_simple__test,0.7,True,840,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6
533__wikitables_simple__test,0.8,True,1006,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0.8235294117647058,0.8235294117647058,0.7
533__wikitables_simple__test,0.9,True,1346,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",0.9473684210526316,0.9473684210526316,0.9
533__wikitables_simple__test,0.95,True,1561,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1.0,1.0,1.0
385__wikidata_intersection__test,0.6,True,194,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
385__wikidata_intersection__test,0.7,True,245,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
385__wikidata_intersection__test,0.8,True,305,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
385__wikidata_intersection__test,0.9,True,424,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
385__wikidata_intersection__test,0.95,True,489,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
520__wikitables_simple__test,0.6,True,746,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
520__wikitables_simple__test,0.7,True,917,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
520__wikitables_simple__test,0.8,True,1098,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
520__wikitables_simple__test,0.9,True,1467,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
520__wikitables_simple__test,0.95,True,1695,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
493__wikitables_simple__test,0.6,True,564,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0.625,0.625,0.5
493__wikitables_simple__test,0.7,True,731,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
493__wikitables_simple__test,0.8,True,893,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
493__wikitables_simple__test,0.9,True,1241,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9
493__wikitables_simple__test,0.95,True,1508,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
534__wikitables_simple__test,0.6,True,731,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5
534__wikitables_simple__test,0.7,True,894,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0.7499999999999999,0.7499999999999999,0.6
534__wikitables_simple__test,0.8,True,1059,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]",0.8235294117647058,0.8235294117647058,0.7
534__wikitables_simple__test,0.9,True,1417,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0]",0.9473684210526316,0.9473684210526316,0.9
534__wikitables_simple__test,0.95,True,1803,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1.0,1.0,1.0
325__wikidata_intersection__test,0.6,True,199,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
325__wikidata_intersection__test,0.7,True,245,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
325__wikidata_intersection__test,0.8,True,292,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
325__wikidata_intersection__test,0.9,True,391,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9
325__wikidata_intersection__test,0.95,True,443,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
274__wikidata_intersection__test,0.6,True,233,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
274__wikidata_intersection__test,0.7,True,284,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
274__wikidata_intersection__test,0.8,True,336,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
274__wikidata_intersection__test,0.9,True,504,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
274__wikidata_intersection__test,0.95,True,599,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
898__wikidata_simple__test,0.6,True,219,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",0.6666666666666666,0.6666666666666666,0.5
898__wikidata_simple__test,0.7,True,310,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
898__wikidata_simple__test,0.8,True,367,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
898__wikidata_simple__test,0.9,True,670,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
898__wikidata_simple__test,0.95,True,858,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
1305__wikidata_simple__test,0.6,True,155,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
1305__wikidata_simple__test,0.7,True,194,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
1305__wikidata_simple__test,0.8,True,245,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
1305__wikidata_simple__test,0.9,True,365,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1]",0.9473684210526316,0.9473684210526316,0.9
1305__wikidata_simple__test,0.95,True,489,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0
690__wikidata_simple__test,0.6,True,291,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
690__wikidata_simple__test,0.7,True,357,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
690__wikidata_simple__test,0.8,True,439,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
690__wikidata_simple__test,0.9,True,631,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",0.9473684210526316,0.9473684210526316,0.9
690__wikidata_simple__test,0.95,True,755,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",1.0,1.0,1.0
17__wikitables_composition__test,0.6,True,127,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
