example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall
552__wikitables_simple__dev,0.6,True,608,"[0, 1, 0, 1, 1, 2]",0.6666666666666666,0.6666666666666666,0.5
552__wikitables_simple__dev,0.7,True,764,"[1, 1, 0, 1, 1, 2]",0.7499999999999999,0.7499999999999999,0.6
552__wikitables_simple__dev,0.8,True,921,"[2, 1, 0, 1, 1, 2]",0.8235294117647058,0.8235294117647058,0.7
552__wikitables_simple__dev,0.9,True,1253,"[2, 2, 0, 2, 1, 2]",0.9473684210526316,0.9473684210526316,0.9
552__wikitables_simple__dev,0.95,False,,,,,
299__wikidata_intersection__dev,0.6,True,349,"[1, 1, 0, 2, 1, 0]",0.6666666666666666,0.6666666666666666,0.5
299__wikidata_intersection__dev,0.7,True,427,"[1, 1, 0, 1, 2, 1]",0.7499999999999999,0.7499999999999999,0.6
299__wikidata_intersection__dev,0.8,True,600,"[1, 2, 0, 2, 2, 0]",0.8235294117647058,0.8235294117647058,0.7
299__wikidata_intersection__dev,0.9,True,1073,"[2, 2, 1, 2, 2, 2]",0.9473684210526316,0.9473684210526316,0.9
299__wikidata_intersection__dev,0.95,False,,,,,
213__wikidata_intersection__dev,0.6,True,267,"[1, 1, 0, 1, 1, 1]",0.625,0.625,0.5
213__wikidata_intersection__dev,0.7,True,343,"[2, 1, 0, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
213__wikidata_intersection__dev,0.8,True,423,"[2, 2, 0, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
213__wikidata_intersection__dev,0.9,True,608,"[2, 2, 0, 2, 1, 2]",0.9473684210526316,0.9473684210526316,0.9
213__wikidata_intersection__dev,0.95,True,725,"[2, 2, 0, 2, 2, 2]",1.0,1.0,1.0
826__wikidata_simple__dev,0.6,True,308,"[2, 0, 1, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
826__wikidata_simple__dev,0.7,True,399,"[2, 0, 1, 1, 1, 1]",0.7499999999999999,0.7499999999999999,0.6
826__wikidata_simple__dev,0.8,True,489,"[2, 0, 2, 1, 1, 1]",0.8235294117647058,0.8235294117647058,0.7
826__wikidata_simple__dev,0.9,True,686,"[2, 0, 2, 2, 2, 1]",0.9473684210526316,0.9473684210526316,0.9
826__wikidata_simple__dev,0.95,True,801,"[2, 0, 2, 2, 2, 2]",1.0,1.0,1.0
31__wikitables_composition__dev,0.6,True,164,"[0, 2, 1, 1, 0, 1]",0.6666666666666666,0.6666666666666666,0.5
31__wikitables_composition__dev,0.7,True,197,"[1, 2, 1, 1, 0, 1]",0.7499999999999999,0.7499999999999999,0.6
31__wikitables_composition__dev,0.8,True,230,"[2, 2, 1, 1, 0, 1]",0.8235294117647058,0.8235294117647058,0.7
31__wikitables_composition__dev,0.9,True,299,"[2, 2, 1, 2, 0, 2]",0.9473684210526316,0.9473684210526316,0.9
31__wikitables_composition__dev,0.95,True,425,"[2, 2, 2, 2, 1, 2]",0.9523809523809523,0.9523809523809523,1.0
792__wikidata_simple__dev,0.6,True,391,"[2, 1, 0, 0, 1, 1]",0.6666666666666666,0.6666666666666666,0.5
792__wikidata_simple__dev,0.7,True,518,"[2, 1, 0, 0, 1, 2]",0.7499999999999999,0.7499999999999999,0.6
792__wikidata_simple__dev,0.8,True,661,"[2, 1, 1, 0, 1, 2]",0.8235294117647058,0.8235294117647058,0.7
792__wikidata_simple__dev,0.9,True,973,"[2, 1, 2, 0, 2, 2]",0.9473684210526316,0.9473684210526316,0.9
792__wikidata_simple__dev,0.95,True,1143,"[2, 2, 2, 0, 2, 2]",1.0,1.0,1.0
533__wikitables_simple__dev,0.6,True,669,"[0, 0, 1, 1, 1, 2]",0.6666666666666666,0.6666666666666666,0.5
533__wikitables_simple__dev,0.7,True,825,"[0, 0, 2, 1, 1, 2]",0.7499999999999999,0.7499999999999999,0.6
533__wikitables_simple__dev,0.8,True,989,"[0, 0, 2, 2, 1, 2]",0.8235294117647058,0.8235294117647058,0.7
533__wikitables_simple__dev,0.9,True,1317,"[2, 0, 2, 1, 2, 2]",0.9473684210526316,0.9473684210526316,0.9
533__wikitables_simple__dev,0.95,False,,,,,
